delete
iteration,reads,,,,,,,,,,,writes,
,10,20,30,40,50,60,70,80,90,100,10,20,30,40,50,60,70,80,90,100,
1,7,14,3,5,7,5,4,68,21,79,6,13,2,4,6,4,3,67,20,78
2,8,13,10,21,37,14,60,14,38,64,7,12,9,20,36,13,59,13,37,63
3,9,12,3,11,18,10,58,77,53,65,8,11,2,10,17,9,57,76,52,64
4,1,18,18,22,31,33,27,24,59,58,1,17,17,21,30,32,26,23,58,57
5,1,7,9,1,16,23,22,76,25,30,1,6,8,1,15,22,21,75,24,29
6,7,14,29,20,44,27,38,30,14,19,6,13,28,19,43,26,37,29,13,18
7,5,15,16,33,14,55,44,31,77,43,4,14,15,32,13,54,43,30,76,42
8,6,5,18,15,36,33,66,36,57,50,5,4,17,14,35,32,65,35,56,49
9,3,12,24,22,12,36,7,69,46,1,2,11,23,21,11,35,6,68,45,1
10,8,20,4,32,11,8,24,54,6,61,7,19,3,31,10,7,23,53,5,60
11,5,10,16,22,33,39,63,58,3,8,4,9,15,21,32,38,62,57,2,7
12,8,4,29,40,14,59,35,71,26,81,7,3,28,39,13,58,34,70,25,80
13,10,11,9,3,3,49,39,45,81,73,9,10,8,2,2,48,38,44,80,72
14,3,4,13,7,14,55,34,37,31,76,2,3,12,6,13,54,33,36,30,75
15,2,9,28,11,47,1,60,72,2,85,1,8,27,10,46,1,59,71,1,84
16,10,11,24,37,32,35,64,69,59,45,9,10,23,36,31,34,63,68,58,44
17,1,12,16,12,9,10,7,20,46,36,1,11,15,11,8,9,6,19,45,35
18,6,6,13,24,7,9,53,35,81,64,5,5,12,23,6,8,52,34,80,63
19,8,9,13,12,25,13,16,39,82,5,7,8,12,11,24,12,15,38,81,4
20,1,3,15,7,32,52,37,29,12,71,1,2,14,6,31,51,36,28,11,70
21,4,16,17,37,37,22,14,40,56,82,3,15,16,36,36,21,13,39,55,81
22,2,12,21,3,33,24,56,17,30,17,1,11,20,2,32,23,55,16,29,16
23,10,1,8,35,6,30,45,21,16,14,9,1,7,34,5,29,44,20,15,13
24,1,18,18,16,3,33,35,76,52,89,1,17,17,15,2,32,34,75,51,88
25,8,12,1,17,4,52,30,18,19,90,7,11,1,16,3,51,29,17,18,89
26,5,19,29,30,22,55,20,64,56,74,4,18,28,29,21,54,19,63,55,73
27,8,15,22,24,18,22,56,43,48,76,7,14,21,23,17,21,55,42,47,75
28,10,4,28,21,21,50,32,9,57,69,9,3,27,20,20,49,31,8,56,68
29,9,10,17,26,40,57,31,19,61,4,8,9,16,25,39,56,30,18,60,3
30,1,7,17,12,10,5,24,14,16,60,1,6,16,11,9,4,23,13,15,59
